Date;Economic Activity;Industrial Production Index (IPI)
2024-10;Mining and Quarrying;98.4078
2024-02;Electricity, gas, steam and air conditioning supply;89.36431
2025-04;Electricity, gas, steam and air conditioning supply;81.5812
2020-05;Mining and Quarrying;104.24051
2019-06;Manufacturing Industry;146.05
2019-06;Electricity, gas, steam and air conditioning supply;149.7
2020-07;Manufacturing Industry;118.15906
2023-09;Manufacturing Industry;115.89894
2020-12;Mining and Quarrying;110.37833
2025-06;Mining and Quarrying;102.6635
2025-07;Electricity, gas, steam and air conditioning supply;144.6892
2023-02;Electricity, gas, steam and air conditioning supply;84.25717
2024-09;Electricity, gas, steam and air conditioning supply;136.6617
2019-11;Manufacturing Industry;142.69
2019-08;Mining and Quarrying;119.89
2023-04;Electricity, gas, steam and air conditioning supply;84.01218
2018-11;Mining and Quarrying;135.86
2025-02;Manufacturing Industry;118.3795
2024-04;Mining and Quarrying;98.56132
2019-02;Mining and Quarrying;124.14
2020-08;Manufacturing Industry;115.40992
2018-01;Manufacturing Industry;171.27
2024-03;Mining and Quarrying;98.41873
2019-10;Manufacturing Industry;147.61
2025-07;Manufacturing Industry;120.6322
2024-06;Mining and Quarrying;96.85026
2020-03;Mining and Quarrying;119.36
2020-09;Manufacturing Industry;114.68197
2023-08;Electricity, gas, steam and air conditioning supply;140.02089
2020-01;Mining and Quarrying;119.34
2018-05;Mining and Quarrying;122.84
2020-10;Mining and Quarrying;110.3
2020-06;Mining and Quarrying;91.98
2018-11;Electricity, gas, steam and air conditioning supply;75.75
2025-02;Mining and Quarrying;98.1336
2019-02;Electricity, gas, steam and air conditioning supply;70.1
2020-02;Mining and Quarrying;119.94
2018-07;Manufacturing Industry;176.46
2023-02;Manufacturing Industry;109.98582
2020-07;Electricity, gas, steam and air conditioning supply;144.04
2019-11;Mining and Quarrying;121.13
2024-07;Electricity, gas, steam and air conditioning supply;143.36963
2018-03;Mining and Quarrying;121.34
2025-02;Electricity, gas, steam and air conditioning supply;93.8105
2018-10;Mining and Quarrying;130.34
2018-03;Manufacturing Industry;179.1
2018-06;Electricity, gas, steam and air conditioning supply;152.24
2020-10;Electricity, gas, steam and air conditioning supply;130.8225
2018-04;Electricity, gas, steam and air conditioning supply;115.21
2023-11;Mining and Quarrying;96.71864
2025-03;Manufacturing Industry;127.1438
2023-01;Mining and Quarrying;114.65185
2018-02;Manufacturing Industry;173.65
2023-02;Mining and Quarrying;114.61894
2019-12;Mining and Quarrying;117.67
2018-09;Mining and Quarrying;128.62
2020-01;Manufacturing Industry;136.15
2024-01;Mining and Quarrying;98.23227
2020-08;Mining and Quarrying;110.42
2024-01;Electricity, gas, steam and air conditioning supply;83.99729
2019-05;Electricity, gas, steam and air conditioning supply;137.57
2020-06;Electricity, gas, steam and air conditioning supply;139.52
2025-05;Mining and Quarrying;100.733
2018-08;Electricity, gas, steam and air conditioning supply;133.96
2025-06;Manufacturing Industry;120.1735
2019-04;Manufacturing Industry;148.54
2024-11;Manufacturing Industry;113.1049
2025-05;Manufacturing Industry;119.9821
2025-01;Mining and Quarrying;97.8155
2025-01;Manufacturing Industry;114.7758
2024-10;Electricity, gas, steam and air conditioning supply;137.8473
2025-06;Electricity, gas, steam and air conditioning supply;138.5962
2023-12;Electricity, gas, steam and air conditioning supply;93.14241
2025-03;Electricity, gas, steam and air conditioning supply;85.6436
2019-01;Manufacturing Industry;155.98
2024-06;Electricity, gas, steam and air conditioning supply;132.63129
2018-03;Electricity, gas, steam and air conditioning supply;91.95
2020-09;Mining and Quarrying;110.3954
2019-03;Electricity, gas, steam and air conditioning supply;89.82
2020-04;Mining and Quarrying;147.17
2019-05;Manufacturing Industry;145.76
2025-03;Mining and Quarrying;98.2542
2020-11;Manufacturing Industry;120.48664
2024-11;Mining and Quarrying;97.9032
2019-03;Mining and Quarrying;119.87
2019-04;Mining and Quarrying;120.11
2018-04;Manufacturing Industry;183.92
2019-08;Manufacturing Industry;149.23
2023-12;Mining and Quarrying;98.10065
2020-07;Mining and Quarrying;104.21
2025-05;Electricity, gas, steam and air conditioning supply;139.3622
2023-03;Mining and Quarrying;114.7725
2018-06;Manufacturing Industry;180.98
2024-11;Electricity, gas, steam and air conditioning supply;108.2496
2020-11;Mining and Quarrying;110.28
2019-09;Mining and Quarrying;111.81
2023-08;Mining and Quarrying;97.81548
2020-05;Electricity, gas, steam and air conditioning supply;126.45
2023-06;Manufacturing Industry;110.58847
2025-01;Electricity, gas, steam and air conditioning supply;85.3952
2018-05;Manufacturing Industry;185.71
2023-07;Mining and Quarrying;98.85747
2023-04;Manufacturing Industry;110.55707
2024-10;Manufacturing Industry;119.295
2019-09;Electricity, gas, steam and air conditioning supply;146.92
2024-03;Manufacturing Industry;116.30537
2023-11;Electricity, gas, steam and air conditioning supply;110.6117
2020-11;Electricity, gas, steam and air conditioning supply;110.68062
2025-07;Mining and Quarrying;104.4732
2023-10;Electricity, gas, steam and air conditioning supply;129.85907
2018-02;Mining and Quarrying;121.68
2018-07;Mining and Quarrying;126.0
2018-10;Manufacturing Industry;150.89
2024-09;Mining and Quarrying;98.4407
2024-04;Manufacturing Industry;118.0902
2024-08;Manufacturing Industry;117.5341
2019-02;Manufacturing Industry;153.87
2023-06;Electricity, gas, steam and air conditioning supply;120.37084
2018-11;Manufacturing Industry;144.85
2018-07;Electricity, gas, steam and air conditioning supply;142.08
2024-08;Mining and Quarrying;98.62713
2024-12;Electricity, gas, steam and air conditioning supply;92.4357
2025-04;Mining and Quarrying;98.7697
2020-10;Manufacturing Industry;119.88
2020-04;Manufacturing Industry;100.84
2019-06;Mining and Quarrying;119.81
2023-07;Electricity, gas, steam and air conditioning supply;132.79416
2023-06;Mining and Quarrying;109.20059
2019-11;Electricity, gas, steam and air conditioning supply;90.54
2024-07;Mining and Quarrying;98.06775
2018-06;Mining and Quarrying;128.58
2024-03;Electricity, gas, steam and air conditioning supply;87.04299
2018-12;Electricity, gas, steam and air conditioning supply;57.38
2023-07;Manufacturing Industry;111.84842
2024-12;Mining and Quarrying;97.6839
2018-08;Mining and Quarrying;127.52
2020-12;Manufacturing Industry;121.66359
2019-07;Mining and Quarrying;117.33
2023-01;Electricity, gas, steam and air conditioning supply;78.82389
2025-04;Manufacturing Industry;118.974
2019-01;Mining and Quarrying;125.45
2024-12;Manufacturing Industry;116.7418
2024-02;Manufacturing Industry;117.17104
2024-02;Mining and Quarrying;98.83553
2019-03;Manufacturing Industry;148.98
2020-05;Manufacturing Industry;107.99
2024-05;Manufacturing Industry;122.2389
2024-07;Manufacturing Industry;112.7355
2019-10;Mining and Quarrying;126.19
2023-10;Mining and Quarrying;98.05678
2018-12;Mining and Quarrying;130.35
2023-11;Manufacturing Industry;105.87575
2019-10;Electricity, gas, steam and air conditioning supply;115.24
2018-12;Manufacturing Industry;138.79
2019-04;Electricity, gas, steam and air conditioning supply;113.29
2019-01;Electricity, gas, steam and air conditioning supply;59.15
2019-12;Electricity, gas, steam and air conditioning supply;88.97
2024-09;Manufacturing Industry;117.2363
2019-12;Manufacturing Industry;139.99
2024-04;Electricity, gas, steam and air conditioning supply;89.49462
2024-08;Electricity, gas, steam and air conditioning supply;138.9222
2020-03;Manufacturing Industry;131.91
2019-09;Manufacturing Industry;150.42
2023-05;Manufacturing Industry;110.30229
2019-08;Electricity, gas, steam and air conditioning supply;147.74
2023-09;Mining and Quarrying;98.44067
2023-05;Electricity, gas, steam and air conditioning supply;101.49081
2023-12;Manufacturing Industry;109.70543
2020-02;Electricity, gas, steam and air conditioning supply;75.21
2024-01;Manufacturing Industry;111.56939
2020-03;Electricity, gas, steam and air conditioning supply;93.65
2023-03;Electricity, gas, steam and air conditioning supply;81.79714
2019-07;Electricity, gas, steam and air conditioning supply;148.56
2023-08;Manufacturing Industry;111.33716
2018-01;Electricity, gas, steam and air conditioning supply;60.55
2023-09;Electricity, gas, steam and air conditioning supply;143.54861
2024-05;Electricity, gas, steam and air conditioning supply;105.61251
2019-05;Mining and Quarrying;118.43
2020-09;Electricity, gas, steam and air conditioning supply;146.405
2020-06;Manufacturing Industry;114.52119
2020-12;Electricity, gas, steam and air conditioning supply;99.82531
2020-08;Electricity, gas, steam and air conditioning supply;145.89
2019-07;Manufacturing Industry;148.68
2018-09;Electricity, gas, steam and air conditioning supply;129.9
2020-01;Electricity, gas, steam and air conditioning supply;70.29
2018-08;Manufacturing Industry;170.01
2018-04;Mining and Quarrying;120.86
2018-09;Manufacturing Industry;165.64
2023-01;Manufacturing Industry;113.73386
2018-02;Electricity, gas, steam and air conditioning supply;71.77
2018-05;Electricity, gas, steam and air conditioning supply;139.9
2018-10;Electricity, gas, steam and air conditioning supply;96.41
2023-03;Manufacturing Industry;116.59238
2024-05;Mining and Quarrying;98.6381
2018-01;Mining and Quarrying;122.27
2020-04;Electricity, gas, steam and air conditioning supply;96.77
2023-10;Manufacturing Industry;105.85795
2023-05;Mining and Quarrying;109.2335
2024-06;Manufacturing Industry;112.9865
2020-02;Manufacturing Industry;134.33
2023-04;Mining and Quarrying;114.73959
